Company_Name,Tier1_Core_Count,Tier12_Core_Count,Tier1_Total_Points,Tier12_Total_Points,Tier1_Coverage_Pct,Tier12_Coverage_Pct
ALEMBIC PHARMACEUTICALS LIMITED,11,11,14,14,100.0,100.0
Adani Energy Solutions Limited,10,10,14,14,90.9090909090909,90.9090909090909
Dalmia Bharat Limited,8,9,11,12,72.72727272727273,81.81818181818183
Coforge Limited,9,9,10,10,81.81818181818183,81.81818181818183
Jindal Stainless Limited,9,9,12,12,81.81818181818183,81.81818181818183
Star Cement Limited,8,8,11,11,72.72727272727273,72.72727272727273
Himadri Speciality Chemical Limited,7,8,7,8,63.63636363636363,72.72727272727273
JSW Steel Limited,7,8,11,12,63.63636363636363,72.72727272727273
Larsen & Toubro Limited,7,8,7,8,63.63636363636363,72.72727272727273
Oberoi Realty Limited,8,8,11,11,72.72727272727273,72.72727272727273
Piramal Enterprises Limited,8,8,9,9,72.72727272727273,72.72727272727273
RBL Bank Limited,8,8,11,11,72.72727272727273,72.72727272727273
POLY MEDICURE LIMITED,8,8,9,9,72.72727272727273,72.72727272727273
Tech Mahindra Limited,8,8,9,9,72.72727272727273,72.72727272727273
GVK Mumbai Airport,4,7,4,7,36.36363636363637,63.63636363636363
Trident Limited,6,7,6,7,54.54545454545454,63.63636363636363
Vardhman Textiles,6,7,6,7,54.54545454545454,63.63636363636363
LTIMindtree Limited,6,7,6,7,54.54545454545454,63.63636363636363
UNITED BREWERIES LIMITED,6,7,7,8,54.54545454545454,63.63636363636363
Electrosteel Castings,6,7,6,7,54.54545454545454,63.63636363636363
CESC Limited,6,7,9,10,54.54545454545454,63.63636363636363
hindalco-TNFD-2024-report,7,7,9,9,63.63636363636363,63.63636363636363
Bikaji Foods,6,7,6,7,54.54545454545454,63.63636363636363
Tech,7,7,9,9,63.63636363636363,63.63636363636363
Tata,7,7,10,10,63.63636363636363,63.63636363636363
JSW Energy,6,7,6,7,54.54545454545454,63.63636363636363
Hindustan,6,6,7,7,54.54545454545454,54.54545454545454
West Coast Paper Mills,5,6,6,7,45.45454545454545,54.54545454545454
IndiGo (InterGlobe Aviation),5,6,5,6,45.45454545454545,54.54545454545454
Haldiram Snacks Food Private Limited,6,6,6,6,54.54545454545454,54.54545454545454
JK Paper,5,6,6,7,45.45454545454545,54.54545454545454
JK Tyre & Industries Limited,5,6,5,6,45.45454545454545,54.54545454545454
JSL-TNFD-Report-FY-2024-25,6,6,9,9,54.54545454545454,54.54545454545454
Tata Motors Limited,5,6,6,7,45.45454545454545,54.54545454545454
